class,coverage,stride,accuracy,n_samples
JumpRope,100,1,0.897071129707113,1195
JumpingJack,100,1,0.9924812030075189,133
Kayaking,100,1,0.966535433070866,508
Knitting,100,1,0.9956427015250544,459
LongJump,100,1,0.3680555555555556,288
Lunges,100,1,0.9089184060721064,527
MilitaryParade,100,1,0.9879032258064516,248
Mixing,100,1,0.9885496183206108,262
MoppingFloor,100,1,0.91,400
Nunchucks,100,1,0.7045045045045045,555
ParallelBars,100,1,0.8401486988847584,269
PizzaTossing,100,1,0.9369369369369368,222
PlayingCello,100,1,0.9985185185185184,675
PlayingDaf,100,1,0.988861386138614,808
PlayingDhol,100,1,0.998868778280543,884
PlayingFlute,100,1,0.982849604221636,758
PlayingGuitar,100,1,1.0,796
PlayingPiano,100,1,0.9976190476190476,420
PlayingSitar,100,1,1.0,1056
PlayingTabla,100,1,0.9945155393053016,547
PlayingViolin,100,1,0.9936708860759492,316
PoleVault,100,1,0.7172897196261683,428
PommelHorse,100,1,0.9910714285714286,784
PullUps,100,1,0.96875,224
Punch,100,1,0.9786729857819904,844
PushUps,100,1,1.0,123
Rafting,100,1,0.6935483870967742,372
RockClimbingIndoor,100,1,0.95357833655706,1034
RopeClimbing,100,1,0.9743589743589745,351
Rowing,100,1,0.9761904761904762,840
SalsaSpin,100,1,0.9812382739212008,533
ShavingBeard,100,1,0.9611801242236024,644
Shotput,100,1,0.7606382978723404,188
SkateBoarding,100,1,0.9671532846715328,274
Skiing,100,1,0.9431818181818182,528
Skijet,100,1,0.8179723502304147,434
SkyDiving,100,1,0.9587912087912088,364
SoccerJuggling,100,1,0.9441687344913152,806
SoccerPenalty,100,1,0.9947089947089948,189
StillRings,100,1,0.88268156424581,358
SumoWrestling,100,1,0.9925925925925926,405
Surfing,100,1,0.852017937219731,446
Swing,100,1,0.9925,400
TableTennisShot,100,1,0.9901234567901236,405
TaiChi,100,1,0.9809523809523808,315
TennisSwing,100,1,0.968181818181818,440
ThrowDiscus,100,1,0.925531914893617,188
TrampolineJumping,100,1,0.9887133182844244,443
Typing,100,1,0.9938775510204082,490
UnevenBars,100,1,0.8876404494382022,267
VolleyballSpiking,100,1,0.9622641509433962,212
WalkingWithDog,100,1,0.9571734475374732,467
WallPushups,100,1,0.9871794871794872,234
WritingOnBoard,100,1,0.9976359338061466,423
YoYo,100,1,0.9823232323232324,396
ApplyEyeMakeup,10,2,0.9322033898305084,413
ApplyLipstick,10,2,0.9912280701754386,342
Archery,10,2,0.8258706467661692,402
BabyCrawling,10,2,0.8582887700534759,374
BalanceBeam,10,2,0.6445497630331753,211
BandMarching,10,2,0.7478260869565218,575
BaseballPitch,10,2,0.683982683982684,231
Basketball,10,2,0.3550488599348534,307
BasketballDunk,10,2,0.951048951048951,143
BenchPress,10,2,0.7598684210526315,304
Biking,10,2,0.7706422018348624,545
Billiards,10,2,0.9575289575289576,777
BlowDryHair,10,2,0.8051948051948052,539
BlowingCandles,10,2,0.9441340782122905,179
BodyWeightSquats,10,2,0.0788381742738589,241
Bowling,10,2,0.9615384615384616,312
BoxingPunchingBag,10,2,0.6159420289855072,552
BoxingSpeedBag,10,2,0.5508771929824562,570
BreastStroke,10,2,0.6277602523659306,317
BrushingTeeth,10,2,0.8077571669477235,593
CleanAndJerk,10,2,0.592391304347826,368
CliffDiving,10,2,0.3742690058479532,171
CricketBowling,10,2,0.9411764705882352,204
CricketShot,10,2,0.7669491525423728,236
CuttingInKitchen,10,2,0.9876160990712074,323
Diving,10,2,0.8590308370044053,454
Drumming,10,2,0.758957654723127,921
Fencing,10,2,0.5304347826086957,230
FieldHockeyPenalty,10,2,0.9484978540772532,233
FloorGymnastics,10,2,0.6225806451612903,310
FrisbeeCatch,10,2,0.4914285714285714,175
FrontCrawl,10,2,0.9598997493734336,399
GolfSwing,10,2,0.9430051813471504,386
Haircut,10,2,0.8115183246073299,382
HammerThrow,10,2,0.6112359550561798,445
Hammering,10,2,0.9466666666666668,300
HandstandPushups,10,2,0.8099173553719008,242
HandstandWalking,10,2,0.68125,320
HeadMassage,10,2,0.8865096359743041,467
HighJump,10,2,0.2372093023255814,215
HorseRace,10,2,0.6834782608695652,575
HorseRiding,10,2,0.863063063063063,555
HulaHoop,10,2,0.4845360824742268,194
IceDancing,10,2,0.5580110497237569,724
JavelinThrow,10,2,0.2541436464088398,181
JugglingBalls,10,2,0.5813528336380256,547
JumpRope,10,2,0.4686192468619247,1195
JumpingJack,10,2,0.1729323308270676,133
Kayaking,10,2,0.5393700787401575,508
Knitting,10,2,0.9193899782135077,459
LongJump,10,2,0.5,288
Lunges,10,2,0.2599620493358633,527
MilitaryParade,10,2,0.9112903225806452,248
Mixing,10,2,0.9427480916030534,262
MoppingFloor,10,2,0.4375,400
Nunchucks,10,2,0.5513513513513514,555
ParallelBars,10,2,0.7323420074349443,269
PizzaTossing,10,2,0.2297297297297297,222
PlayingCello,10,2,0.9688888888888888,675
PlayingDaf,10,2,0.8886138613861386,808
PlayingDhol,10,2,0.9626696832579186,884
PlayingFlute,10,2,0.9709762532981532,758
PlayingGuitar,10,2,0.9886934673366834,796
PlayingPiano,10,2,0.9761904761904762,420
PlayingSitar,10,2,0.9933712121212122,1056
PlayingTabla,10,2,0.9945155393053016,547
PlayingViolin,10,2,0.9208860759493672,316
PoleVault,10,2,0.4299065420560747,428
PommelHorse,10,2,0.5216836734693877,784
PullUps,10,2,0.4464285714285714,224
Punch,10,2,0.9218009478672986,844
PushUps,10,2,0.7804878048780488,123
Rafting,10,2,0.4677419354838709,372
RockClimbingIndoor,10,2,0.8733075435203095,1034
RopeClimbing,10,2,0.3988603988603988,351
Rowing,10,2,0.5535714285714286,840
SalsaSpin,10,2,0.5478424015009381,533
ShavingBeard,10,2,0.8835403726708074,644
Shotput,10,2,0.7819148936170213,188
SkateBoarding,10,2,0.5583941605839416,274
Skiing,10,2,0.6856060606060606,528
Skijet,10,2,0.8433179723502304,434
SkyDiving,10,2,0.7939560439560439,364
SoccerJuggling,10,2,0.3870967741935484,806
SoccerPenalty,10,2,0.9788359788359788,189
StillRings,10,2,0.7905027932960894,358
SumoWrestling,10,2,0.925925925925926,405
Surfing,10,2,0.7286995515695067,446
Swing,10,2,0.51,400
TableTennisShot,10,2,0.6246913580246913,405
TaiChi,10,2,0.7619047619047619,315
TennisSwing,10,2,0.4318181818181818,440
ThrowDiscus,10,2,0.2074468085106383,188
TrampolineJumping,10,2,0.4469525959367946,443
Typing,10,2,0.9918367346938776,490
UnevenBars,10,2,0.3558052434456928,267
VolleyballSpiking,10,2,0.4622641509433962,212
WalkingWithDog,10,2,0.5481798715203426,467
WallPushups,10,2,0.9615384615384616,234
WritingOnBoard,10,2,0.9976359338061466,423
YoYo,10,2,0.4217171717171717,396
ApplyEyeMakeup,25,2,0.9661016949152542,413
ApplyLipstick,25,2,0.9941520467836256,342
Archery,25,2,0.927860696517413,402
BabyCrawling,25,2,0.9197860962566844,374
BalanceBeam,25,2,0.7393364928909952,211
BandMarching,25,2,0.8904347826086957,575
BaseballPitch,25,2,0.7619047619047619,231
Basketball,25,2,0.5602605863192183,307
BasketballDunk,25,2,0.993006993006993,143
BenchPress,25,2,0.9572368421052632,304
Biking,25,2,0.9376146788990826,545
Billiards,25,2,0.9691119691119692,777
BlowDryHair,25,2,0.9239332096474954,539
BlowingCandles,25,2,0.9664804469273744,179
BodyWeightSquats,25,2,0.3029045643153527,241
Bowling,25,2,0.9775641025641024,312
BoxingPunchingBag,25,2,0.9003623188405797,552
BoxingSpeedBag,25,2,0.8035087719298246,570
BreastStroke,25,2,0.8012618296529969,317
BrushingTeeth,25,2,0.821247892074199,593
CleanAndJerk,25,2,0.8152173913043478,368
CliffDiving,25,2,0.6432748538011696,171
CricketBowling,25,2,0.931372549019608,204
CricketShot,25,2,0.8305084745762712,236
CuttingInKitchen,25,2,0.9969040247678018,323
Diving,25,2,0.933920704845815,454
Drumming,25,2,0.8903365906623235,921
Fencing,25,2,0.8347826086956521,230
FieldHockeyPenalty,25,2,0.9356223175965666,233
FloorGymnastics,25,2,0.5774193548387097,310
FrisbeeCatch,25,2,0.6685714285714286,175
FrontCrawl,25,2,0.974937343358396,399
